"website","url","reference","country","province","location","title","description","price","operation","property_type","rooms","baths","area","floor","elevator","outside","floor","images","latitude","longitude","dealer","dealer_url","dealer_is_professional"
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44601-94902282,"44601-94902282",es,santa-cruz-de-tenerife,"Puerto de Santiago, Santiago del Teide, Santa Cruz de Tenerife (provincia)","Piso en calle Manuel Ravelo en Puerto de Santiago, Santiago del Teide","Dream Homes Tenerife les presenta este fantástico Apartamento en alquiler de 2 Dormitorios junto a la playa en Puerto de Santiago, Complejo Seguro del Sol.

DISPONIBLE DESDE OCTUBRE 2023 HASTA JUNIO 2024.

IMPORTANTE: Se alquila solo por temporada, por tiempo ...",850.0,RENT,FLAT,2,1,77,,,,,16,28.231049,-16.8399854,Dream Homes Tenerife,https://www.yaencontre.com/inmobiliarias/dream-homes-tenerife-44601,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44357-102244852,"44357-102244852",es,santa-cruz-de-tenerife,"La Salle - Cuatro Torres, La Salud - La Salle, Santa Cruz de Tenerife, Santa Cruz de Tenerife (provincia)","Piso en plaza De Los Curtidos Hermanos Dorta, La Salle - Cuatro Torres, Santa Cruz de Tenerife","Alquiler de vivienda situada en el Residencial Los Molinos, en la trasera del Colegio de San Idelfonso de La Salle. Santa Cruz de Tenerife.

Está ubicada en la primera planta del edificio con ascensor, destaca porque es muy amplia y luminosa.

Se distribuye en...",1200.0,RENT,FLAT,3,2,110,,,,,37,28.4621977,-16.2555815,Dorta Hermanos Inmobiliaria,https://www.yaencontre.com/inmobiliarias/dorta-hermanos-inmobiliaria-44357,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44601-98327574,"44601-98327574",es,santa-cruz-de-tenerife,"Acantilados de Los Gigantes, Santiago del Teide, Santa Cruz de Tenerife (provincia)","Piso en Acantilados de Los Gigantes, Santiago del Teide","Dream Homes Tenerife le presenta este acogedor apartamento de un dormitorio en Los Gigantes. El apartamento tiene 1 dormitorio, un baño, cocina semi independiente, salón y trastero.

El apartamento está muy bien ubicado en un barrio tranquilo y cerca de todos ...",785.0,RENT,FLAT,1,1,85,,,,,15,28.2431301,-16.8395932,Dream Homes Tenerife,https://www.yaencontre.com/inmobiliarias/dream-homes-tenerife-44601,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44790-101478426,"44790-101478426",es,santa-cruz-de-tenerife,"Costa Blanca - Las Galletas, Arona, Santa Cruz de Tenerife (provincia)","Piso en Costa Blanca - Las Galletas, Arona","SOLO CORTA TEMPORADA!
DISPONIBLE DESDE EL 14.09. 2023!
Inmogestion Tenerife ofrece en alquiler, una vivienda en la tercera planta en el pueblo pesquero Las Galletas!
La vivienda dispone de 2 dormitorios (con armarios empotrados), 1 baño con ducha y bidet, pasi...",990.0,RENT,FLAT,2,1,59,,,,,22,28.0095725,-16.659095,Inmogestion tenerife,https://www.yaencontre.com/inmobiliarias/inmogestion-tenerife-44790,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-48951-97394554,"48951-97394554",es,santa-cruz-de-tenerife,"Güímar, Santa Cruz de Tenerife (provincia)",Piso en Güímar,"¡Alquiler por corta temporada AGOSTO 950,00€ con garaje, está disponible de 1 al 29 de agosto de 2023

Coqueto y acogedor piso con excelente ubicación a tan sólo 200 metros del mar y todos los servicios, tendrás la tranquilidad y comodidad que buscas en el lug...",950.0,RENT,FLAT,2,1,75,,,,,20,28.2972652,-16.3742689,Lucrecia Magistrati Servicios Inmobiliarios Tu Casa y Asesoramiento integral,https://www.yaencontre.com/inmobiliarias/lucrecia-magistrati-servicios-inmobiliarios-tu-casa-y-asesoramiento-integral-48951,true
pisos.com,https://www.pisos.com/alquilar/nave_industrial-matama_beade_bembrive_valadares_zamans-35052667848_101800/,"35052667848.101800",es,pontevedra,"Calle Estrada De Valadares, Matamá-Beade-Bembrive-Valadares-Zamáns (Vigo)",Nave industrial en calle Estrada de Valadares,"Nave en venta o alquiler completamente acondicionada en el parque tecnológico y logístico de valladares en  vigo, con una superfic...",7000.0,alquiler,naves,,,3100,,,,,19,42.2013706,-8.7439397,Inmobiliaria Maria Silva,https://www.pisos.com/microsite-inmobiliaria_maria_silva,true
pisos.com,https://www.pisos.com/alquilar/nave_industrial-matama_beade_bembrive_valadares_zamans-35052667848_101800/,"35052667848.101800",es,pontevedra,"Calle Estrada De Valadares, Matamá-Beade-Bembrive-Valadares-Zamáns (Vigo)",Nave industrial en calle Estrada de Valadares,"Nave en venta o alquiler completamente acondicionada en el parque tecnológico y logístico de valladares en  vigo, con una superfic...",7000.0,alquiler,naves,,,3100,,,,,19,42.2013706,-8.7439397,Inmobiliaria Maria Silva,https://www.pisos.com/microsite-inmobiliaria_maria_silva,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-47711-102256841,"47711-102256841",es,santa-cruz-de-tenerife,"Buzanda - Cabo Blanco - Valle San Lorenzo, Arona, Santa Cruz de Tenerife (provincia)","Piso en Buzanda - Cabo Blanco - Valle San Lorenzo, Arona","REF 60667

DISPONIBLE 
Este maravilloso piso se encuentra en Cabo Blanco, Arona, una zona tranquila y relajada, ideal para disfrutar del exterior y la naturaleza. A su vez, es una zona céntrica, esta rodeado de todos los servicios indispensables para el día a ...",1000.0,RENT,FLAT,2,1,55,,,,,10,28.0755753,-16.6726063,Metro Cuadrado,https://www.yaencontre.com/inmobiliarias/metro-cuadrado-47711,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44601-101863769,"44601-101863769",es,santa-cruz-de-tenerife,"Puerto de Santiago, Santiago del Teide, Santa Cruz de Tenerife (provincia)","Piso en carretera General Puerto de Santiago en Puerto de Santiago, Santiago del Teide","Dream Homes Tenerife presenta este precioso apartamento en Puerto de Santiago, en una de las mejores zonas de la isla. Disponible desde 15 de agosto. 

IMPORTANTE: Se alquila solo por temporada, por tiempo determinado y hay que cumplir uno de los siguientes mo...",850.0,RENT,FLAT,1,1,48,,,,,19,28.2365946,-16.8422345,Dream Homes Tenerife,https://www.yaencontre.com/inmobiliarias/dream-homes-tenerife-44601,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44601-100395324,"44601-100395324",es,santa-cruz-de-tenerife,"Tamaimo-Arguayo, Santiago del Teide, Santa Cruz de Tenerife (provincia)","Piso en Tamaimo-Arguayo, Santiago del Teide","Dream Homes Tenerife te presenta esta fantástica oportunidad, un apartamento de 1 dormitorio en alquiler en Los Gigantes.

IMPORTANTE: Se alquila solo por temporada, por tiempo determinado y hay que cumplir uno de los siguientes motivos; estudios, trabajo temp...",585.0,RENT,FLAT,1,1,55,,,,,22,28.2399591,-16.833581,Dream Homes Tenerife,https://www.yaencontre.com/inmobiliarias/dream-homes-tenerife-44601,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44601-97674588,"44601-97674588",es,santa-cruz-de-tenerife,"Puerto de Santiago, Santiago del Teide, Santa Cruz de Tenerife (provincia)","Piso en carretera General Puerto de Santiago en Puerto de Santiago, Santiago del Teide","Dream Homes Tenerife presenta este fantástico apartamento en Puerto de Santiago con vistas increíbles.

IMPORTANTE: Se alquila solo por temporada, por tiempo determinado y hay que cumplir uno de los siguientes motivos; estudios, trabajo temporal, vacaciones o ...",785.0,RENT,FLAT,1,1,53,,,,,16,28.2365,-16.84219,Dream Homes Tenerife,https://www.yaencontre.com/inmobiliarias/dream-homes-tenerife-44601,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-47711-102065200,"47711-102065200",es,santa-cruz-de-tenerife,"La Salle - Cuatro Torres, La Salud - La Salle, Santa Cruz de Tenerife, Santa Cruz de Tenerife (provincia)","Piso en La Salle - Cuatro Torres, Santa Cruz de Tenerife","REF 60615

DISPONIBLE FINALES DE JULIO
Este maravilloso piso se encuentra en Santa Cruz de Tenerife, una zona tranquila y relajada, ideal para disfrutar del exterior y la naturaleza. A su vez, es una zona céntrica, esta rodeado de todos los servicios indispens...",850.0,RENT,FLAT,2,1,67,,,,,11,28.4647202,-16.2604735,Metro Cuadrado,https://www.yaencontre.com/inmobiliarias/metro-cuadrado-47711,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-47711-102152953,"47711-102152953",es,santa-cruz-de-tenerife,"Punta del Hidalgo, San Cristóbal de La Laguna, Santa Cruz de Tenerife (provincia)","Piso en Punta del Hidalgo, San Cristóbal de La Laguna","REF 60638

DISPONIBLE
Este maravilloso piso se encuentra en Punta del Hidalgo, una zona tranquila y relajada, ideal para disfrutar del exterior y la naturaleza. A su vez, es una zona céntrica, esta rodeado de todos los servicios indispensables para el día a dí...",1050.0,RENT,FLAT,3,1,95,,,,,10,28.5697761,-16.3241622,Metro Cuadrado,https://www.yaencontre.com/inmobiliarias/metro-cuadrado-47711,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44601-102260667,"44601-102260667",es,santa-cruz-de-tenerife,"Puerto de Santiago, Santiago del Teide, Santa Cruz de Tenerife (provincia)","Piso en calle Caleta del Jurado en Puerto de Santiago, Santiago del Teide","Dream Homes Tenerife presenta precioso apartamento de 1 dormitorio en alquiler en Puerto de Santiago en el complejo Jardines del Mar.

DISPONIBLE DESDE SEPTIEMBRE 2023. MAXIMO 2 PERSONAS

IMPORTANTE: Se alquila solo por temporada, por tiempo determinado y hay ...",815.0,RENT,FLAT,1,1,58,,,,,18,28.2355557,-16.8406103,Dream Homes Tenerife,https://www.yaencontre.com/inmobiliarias/dream-homes-tenerife-44601,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44438-102153350,"44438-102153350",es,santa-cruz-de-tenerife,"Las Caletillas-Punta Larga, Candelaria, Santa Cruz de Tenerife (provincia)","Piso en Las Caletillas-Punta Larga, Candelaria","Si quieres vivir en un balcón al mar, te ofrezco este apartamento de una habitación recién reformado en una sexta planta con ascensor y garaje doble, vistas impresionantes de toda la bahía de Candelaria, baño completo a estrenar, cocina con todo el menaje nece...",880.0,RENT,FLAT,1,1,64,,,,,26,28.3605029,-16.3652275,NOOW | Capital,https://www.yaencontre.com/inmobiliarias/noown-ncapital-44438,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-55877-BO-TF-C-A,"55877-BO-TF-C-A",es,santa-cruz-de-tenerife,"Las Caletillas-Punta Larga, Candelaria, Santa Cruz de Tenerife (provincia)","Dúplex en Las Caletillas-Punta Larga, Candelaria","SOLO POR TEMPORADAS, DESDE SEPTIEMBRE MINIMO 3-4 MESES, NO DISPONIBLE POR LARGA DURACIÓN/COMO VIVIENDA HABITUAL. NO SE RESPONDEN A PETICIONES QUE NO CUMPLAN CON LAS CONDICIONES AQUÍ MENCIONADAS.

¡Sumérgete en un sueño hecho realidad en este espectacular dúple...",1300.0,RENT,FLAT,2,1,86,,,,,27,28.3721942,-16.3602507,NORDICWAY REAL ESTATE,https://www.yaencontre.com/inmobiliarias/nordicway-real-estate-55877,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-45065-102266312,"45065-102266312",es,santa-cruz-de-tenerife,"Matanza de Acentejo (La), Santa Cruz de Tenerife (provincia)",Piso en carretera General del Norte en Matanza de Acentejo (La),"DISPONIBLE - CONTACTAR SOLO VIA EMAIL

Ubicada en Residencial Las Limeras, en la en la Carretera General de la Matanza de Acentejo, esta amplia vivienda se caracteriza por las estancias generosas y la tranquilidad de la zona. 

Localizada en la planta primera,...",650.0,RENT,FLAT,3,1,90,,,,,27,28.4533828,-16.4538569,LOVE THIS HOUSE!,https://www.yaencontre.com/inmobiliarias/love-this-house-45065,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-47711-102202030,"47711-102202030",es,santa-cruz-de-tenerife,"Orotava (La), Santa Cruz de Tenerife (provincia)",Piso en Orotava (La),"REF 60653

DISPONIBLE
Este maravilloso piso se encuentra en La Orotava, una zona tranquila y relajada, ideal para disfrutar del exterior y la naturaleza. A su vez, es una zona céntrica, esta rodeado de todos los servicios indispensables para el día a día.

La ...",650.0,RENT,FLAT,1,1,70,,,,,10,28.4010117,-16.5181421,Metro Cuadrado,https://www.yaencontre.com/inmobiliarias/metro-cuadrado-47711,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-56987-99830206,"56987-99830206",es,santa-cruz-de-tenerife,"Costa Adeje, Adeje, Santa Cruz de Tenerife (provincia)","Piso en Costa Adeje, Adeje","PROMOCIÓN: ALTA DE SUMINISTROS GRATIS si reservas antes del 31 de agosto. Y además, ¡sin comisiones de agencia!. Apartamento de 41 m² en alquiler de 1 dormitorio situado en la localidad de Adeje, en Santa Cruz de Tenerife. La vivienda se ubica en el Complejo L...",750.0,RENT,FLAT,1,1,40,,,,,29,28.0848791,-16.7279828,"SOLVIA SERVICIOS INMOBILIARIOS S.L.,",https://www.yaencontre.com/inmobiliarias/solvia-servicios-inmobiliarios-s-l-56987,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44558-102269746,"44558-102269746",es,santa-cruz-de-tenerife,"Puerto de Santiago, Santiago del Teide, Santa Cruz de Tenerife (provincia)","Dúplex en Puerto de Santiago, Santiago del Teide","REF 4672.

Nos complace presentarles esta impresionante propiedad de alto standing en alquiler, ubicada en la prestigiosa urbanización Parque Azul, en la fabulosa zona de Puerto Santiago. Este dúplex exclusivo ofrece vistas panorámicas al mar y se encuentra en...",1800.0,RENT,FLAT,2,2,140,,,,,35,28.2307544,-16.8390024,Smilo Properties,https://www.yaencontre.com/inmobiliarias/smilo-properties-44558,true
pisos.com,https://www.pisos.com/alquilar/nave_industrial-lavadores-35892674048_994791/,"35892674048.994791",es,pontevedra,"Calle De Gandarón, Lavadores (Vigo)",Nave industrial en calle de Gandarón,"Nave en polígono gandarón , a escasos metros de avenida de madrid, ,con planta baja ,primera y altillo, con dos baños, zona de ves...",1400.0,alquiler,naves,,,380,,,,,28,42.2187457,-8.6998981,Alfa Inmo 3 994791 0,https://www.pisos.com/microsite-alfa_inmo_3_994791_0,true
pisos.com,https://www.pisos.com/alquilar/nave_industrial-lavadores-35892674048_994791/,"35892674048.994791",es,pontevedra,"Calle De Gandarón, Lavadores (Vigo)",Nave industrial en calle de Gandarón,"Nave en polígono gandarón , a escasos metros de avenida de madrid, ,con planta baja ,primera y altillo, con dos baños, zona de ves...",1400.0,alquiler,naves,,,380,,,,,28,42.2187457,-8.6998981,Alfa Inmo 3 994791 0,https://www.pisos.com/microsite-alfa_inmo_3_994791_0,true
pisos.com,https://www.pisos.com/alquilar/nave_industrial-tui_centro_urbano-35056528694_322600/,"35056528694.322600",es,pontevedra,"Calle Tui, Nº 1, Tui","Nave industrial en calle Tui, nº 1","Superf. En planta 870 m² m², útil 1360 m²,  alcantarillado, asfaltado, alumbrado, accesibilidad muy buena, muelle de carga, divisi...",3000.0,alquiler,naves,,,1280,,,,,15,42.0329522,-8.6535841,M2 Inmobiliaria,https://www.pisos.com/microsite-m2_inmobiliaria,true
pisos.com,https://www.pisos.com/alquilar/nave_industrial-tui_centro_urbano-35056528694_322600/,"35056528694.322600",es,pontevedra,"Calle Tui, Nº 1, Tui","Nave industrial en calle Tui, nº 1","Superf. En planta 870 m² m², útil 1360 m²,  alcantarillado, asfaltado, alumbrado, accesibilidad muy buena, muelle de carga, divisi...",3000.0,alquiler,naves,,,1280,,,,,15,42.0329522,-8.6535841,M2 Inmobiliaria,https://www.pisos.com/microsite-m2_inmobiliaria,true
pisos.com,https://www.pisos.com/alquilar/nave_comercial-o_porrino_centro_urbano-34187912557_322600/,"34187912557.322600",es,pontevedra,"Calle Gandara, O Porriño",Nave comercial en calle Gandara,"Se alquila nave con amplia parcela, la propiedad tiene una superficie total aproximada de unos 450 m², entre oficinas, almacén, n...",1500.0,alquiler,naves,,,450,,,,,15,42.159918928,-8.613158542,M2 Inmobiliaria,https://www.pisos.com/microsite-m2_inmobiliaria,true
pisos.com,https://www.pisos.com/alquilar/nave_comercial-o_porrino_centro_urbano-34187912557_322600/,"34187912557.322600",es,pontevedra,"Calle Gandara, O Porriño",Nave comercial en calle Gandara,"Se alquila nave con amplia parcela, la propiedad tiene una superficie total aproximada de unos 450 m², entre oficinas, almacén, n...",1500.0,alquiler,naves,,,450,,,,,15,42.159918928,-8.613158542,M2 Inmobiliaria,https://www.pisos.com/microsite-m2_inmobiliaria,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44679-101445477,"44679-101445477",es,santa-cruz-de-tenerife,"Costa Adeje, Adeje, Santa Cruz de Tenerife (provincia)","Ático en avenida Eugenio Dominguez Alfonso en Costa Adeje, Adeje","residencial Viña del mar, playa de las américas 
atico en perfecto estado a 200 metros de la playa, salón con cocina abierta, 1 dormitorio, 1 baño, terraza con vista mar 
piscina en la residencia, restaurantes, bares, supermercado, farmacia, hospital, centro c...",1200.0,RENT,FLAT,1,1,50,,,,,13,28.0728254,-16.730046,TENERIFE SOUTH PROPERTY,https://www.yaencontre.com/inmobiliarias/tenerife-south-property-44679,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44771-99165793,"44771-99165793",es,santa-cruz-de-tenerife,"Zona Botánico, Puerto de la Cruz, Santa Cruz de Tenerife (provincia)","Ático en calle Marquez de Villanueva del Prado en Zona Botánico, Puerto de la Cruz","Atico ubicado en exclusiva urbanización el de la Cruz, seguridad privada, zonas de jardines comunes, piscina. terraza de 70 metros con zona de solarium y barbacoa. interiores de primeras calidades, confort y calidad. muy cerca del jardín botánico, restaurantes...",1750.0,RENT,FLAT,1,1,170,,,,,12,28.4128446,-16.5378855,Inmobiliaria RCR,https://www.yaencontre.com/inmobiliarias/inmobiliaria-rcr-44771,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44969-101358597,"44969-101358597",es,santa-cruz-de-tenerife,"Zona Martiánez, Puerto de la Cruz, Santa Cruz de Tenerife (provincia)","Piso en Zona Martiánez, Puerto de la Cruz","Estupendo piso en Puerto de la Cruz.
Disponible para alquilar desde hoy hasta septiembre.
Completamente amueblado y equipado.
Muy cerca del mar zona céntrica rodeado de todos los servicios.

1 habitación independiente.
Armarios empotrados.
Un baño con bañera.
...",800.0,RENT,FLAT,1,1,68,,,,,23,28.4164146,-16.5466006,Asesores inmobiliarios,https://www.yaencontre.com/inmobiliarias/asesores-inmobiliarios-44969,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-64937-85434243,"64937-85434243",es,santa-cruz-de-tenerife,"Los Cristianos - Playa de las Américas, Arona, Santa Cruz de Tenerife (provincia)","Piso en Los Cristianos - Playa de las Américas, Arona","Se alquila apartamento vacacional totalmente reformado muy cerca de Playa de las Vistas.
 Tiene dos habitaciones y un cuarto de baño.
 Tiene una superficie de 53 m2.
 El apartamento está situado muy cerca de centros comerciales, bares, restaurantes y supermerc...",2800.0,RENT,FLAT,2,1,56,,,,,12,28.0541689,-16.7245099,Besthouse-Arona,https://www.yaencontre.com/inmobiliarias/besthouse-arona-64937,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44386-101657407,"44386-101657407",es,santa-cruz-de-tenerife,"Los Cristianos - Playa de las Américas, Arona, Santa Cruz de Tenerife (provincia)","Estudio en avenida Antonio Dominguez en Los Cristianos - Playa de las Américas, Arona","Este estupendo Estudio está situado en el corazón de Playa de las Américas, a solo 300 m de la Playa de las Vistas, rodeado con todos las amenidades, Supermercados, Bares, Restaurantes y zonas de ocio. Su posición dentro del complejo es tranquilo y soleado. Al...",750.0,RENT,FLAT,,1,43,,,,,8,28.0577045,-16.733116,Atlantik Properties Sales & Rentals S.L,https://www.yaencontre.com/inmobiliarias/atlantik-properties-sales-a-rentals-s-l-44386,true
yaencontre.com,https://www.yaencontre.com/alquiler/piso/inmueble-44458-102190545,"44458-102190545",es,santa-cruz-de-tenerife,"Radazul, Rosario (El), Santa Cruz de Tenerife (provincia)","Piso en Radazul, Rosario (El)","Este maravilloso piso, se encuentra en calle balboa, en radazul, el rosario.

consta de 85m2, 1 habitacion amplia con armarios empotrados, cocina independiente con acceso a un balcon con vistas al mar, un salon comedor, con una terraza de unos 18m2, así como u...",900.0,RENT,FLAT,1,1,90,,,,,16,28.4051806,-16.3266848,DVinmobiliaria,https://www.yaencontre.com/inmobiliarias/dvinmobiliaria-44458,true
